ID,from_node,to_node,distance,spend_tm
0,0,1,63536,77
1,0,2,27489,33
2,0,3,62041,75
3,0,4,13365,17
4,0,5,45570,55
5,0,6,44734,54
6,0,7,19951,24
7,0,8,13012,16
8,0,9,20944,26
9,0,10,36877,45
10,0,11,29240,36
11,0,12,78465,95
12,0,13,67781,82
13,0,14,19450,24
14,0,15,42593,52
15,0,16,60977,74
16,0,17,21071,26
17,0,18,31137,38
18,0,19,71966,87
19,0,20,58174,70
20,0,21,60403,73
21,0,22,44257,54
22,0,23,34983,42
23,0,24,32664,40
24,0,25,38815,47
25,0,26,70123,85
26,0,27,30942,38
27,0,28,35048,43
28,0,29,24811,30
29,0,30,32135,39
30,0,31,34301,42
31,0,32,41741,51
32,0,33,29895,36
33,0,34,39349,48
34,0,35,47661,58
35,0,36,21186,26
36,0,37,12285,15
37,0,38,31051,38
38,0,39,75741,91
39,0,40,25565,31
40,0,41,27542,34
41,0,42,41244,50
42,0,43,15804,19
43,0,44,33849,41
44,0,45,25658,31
45,0,46,44782,54
46,0,47,26792,33
47,0,48,70474,85
48,0,49,50978,62
49,0,50,71486,86
50,0,51,76450,92
51,0,52,56115,68
52,0,53,40336,49
53,0,54,19385,24
54,0,55,49907,60
55,0,56,56123,68
56,0,57,10269,13
57,0,58,21875,27
58,0,59,33428,41
59,0,60,45590,55
60,0,61,51004,62
61,0,62,64945,78
62,0,63,18972,23
63,0,64,17685,22
64,0,65,65806,79
65,0,66,34580,42
66,0,67,68469,83
67,0,68,45610,55
68,0,69,41979,51
69,0,70,62610,76
70,0,71,35213,43
71,0,72,50193,61
72,0,73,44301,54
73,0,74,28986,35
74,0,75,54698,66
75,0,76,51679,63
76,0,77,74178,90
77,0,78,36723,45
78,0,79,33970,41
79,0,80,32420,39
80,0,81,33318,40
81,0,82,38704,47
82,0,83,45869,56
83,0,84,30450,37
84,0,85,33098,40
85,0,86,26662,32
86,0,87,46963,57
87,0,88,36791,45
88,0,89,47476,57
89,0,90,46356,56
90,0,91,36071,44
91,0,92,15604,19
92,0,93,27357,33
93,0,94,17379,21
94,0,95,26309,32
95,0,96,53893,65
96,0,97,35012,43
97,0,98,47117,57
98,0,99,19167,24
99,0,100,52036,63
1100,1,0,63536,77
1101,1,2,40191,49
1102,1,3,15214,19
1103,1,4,54279,66
1104,1,5,41123,50
1105,1,6,22985,28
1106,1,7,47716,58
1107,1,8,54631,66
1108,1,9,46744,57
1109,1,10,30818,37
1110,1,11,38450,47
1111,1,12,19109,23
1112,1,13,13943,17
1113,1,14,66439,80
1114,1,15,45544,55
1115,1,16,12722,16
1116,1,17,52478,63
1117,1,18,36567,44
1118,1,19,12615,16
1119,1,20,26963,33
1120,1,21,23949,29
1121,1,22,42673,52
1122,1,23,44954,54
1123,1,24,35053,43
1124,1,25,28849,35
1125,1,26,16750,21
1126,1,27,36755,45
1127,1,28,32661,40
1128,1,29,42861,52
1129,1,30,35521,43
1130,1,31,33345,41
1131,1,32,25968,32
1132,1,33,37772,46
1133,1,34,42292,51
1134,1,35,22750,28
1135,1,36,46450,56
1136,1,37,66726,81
1137,1,38,52813,64
1138,1,39,16398,20
1139,1,40,42115,51
1140,1,41,40122,49
1141,1,42,26752,33
