ID	type	lng                 	lat                 	pack_total_weight	pack_total_volume	first_receive_tm	last_receive_tm
0	1	116.571614 	39.792844 	-	-	08:00	00:00
1	2	116.242043 	40.072630 	0.2076	0.3666	09:00	12:00
2	2	116.403595 	39.872945 	0.05863	0.1687	13:30	14:00
3	2	116.186289 	40.016361 	0.03645	0.0745	13:00	15:00
4	2	116.508011 	39.826296 	0.02595	0.0542	09:00	10:00
5	2	116.130997 	39.825921 	0.0198	0.1117	11:00	13:30
6	2	116.292094 	39.942186 	0.02653	0.0409	11:30	13:00
7	2	116.439797 	39.833047 	0.06097	0.1057	09:00	11:00
8	2	116.508963 	39.823860 	0.01075	0.0455	13:00	15:00
9	2	116.378689 	39.795018 	0.221895	0.3375	09:00	12:00
10	2	116.358365 	39.922532 	0.025	0.2034	13:00	14:00
11	2	116.373796 	39.865785 	0.051942	0.1037	13:30	15:30
12	2	116.183008 	40.161382 	0.04723	0.0964	13:30	15:30
13	2	116.160112 	40.047810 	0.692255	1.1219	13:30	14:00
14	2	116.678619 	39.847616 	0.01055	0.026	10:00	12:00
15	2	116.226258 	39.713316 	0.0505	0.1151	11:00	12:00
16	2	116.306948 	40.099512 	0.348	3.4027	09:30	11:00
17	2	116.408698 	39.766474 	0.4524	4.4235	10:00	11:00
18	2	116.333278 	39.851693 	0.518445	1.4488	09:30	10:30
19	2	116.197001 	40.113750 	0.0208	0.1346	13:00	14:00
20	2	116.406780 	40.151046 	0.0886	0.1477	09:00	10:00
21	2	116.144710 	39.969706 	0.02865	0.0513	09:00	12:00
22	2	116.129614 	39.813060 	0.0105	0.0386	10:00	11:00
23	2	116.643754 	40.013940 	0.0856	0.1566	13:00	14:30
24	2	116.296372 	39.837049 	0.03304	0.1331	13:30	15:30
25	2	116.447047 	40.008081 	0.02366	0.3351	09:00	12:00
26	2	116.276963 	40.158640 	0.08944	0.1272	10:00	12:00
27	2	116.354563 	39.866296 	0.015	0.3662	13:30	15:30
28	2	116.318031 	39.875112 	0.03798	0.051	13:30	15:30
29	2	116.425587 	39.865789 	0.02212	0.798	13:30	14:00
30	2	116.471535 	39.966890 	0.24	0.4176	10:00	11:00
31	2	116.499245 	40.007637 	0.013	0.0368	09:30	11:00
32	2	116.319851 	39.936628 	0.3153	0.6039	11:00	12:00
33	2	116.440667 	39.923044 	0.1716	0.4511	13:30	14:00
34	2	116.205883 	39.758115 	0.04826	0.1466	11:00	13:30
35	2	116.443684 	40.084959 	0.01467	0.1156	10:00	11:00
36	2	116.529238 	39.912863 	0.0124	0.159	10:00	12:00
37	2	116.638334 	39.814205 	0.01817	0.0293	11:00	13:00
38	2	116.352196 	39.720231 	0.06247	0.121	13:00	14:00
39	2	116.218160 	40.163925 	0.0202	0.0515	09:00	12:00
40	2	116.402014 	39.854453 	0.0106	0.0244	11:00	13:30
41	2	116.447673 	39.907295 	0.06498	0.4311	13:00	14:00
42	2	116.504712 	40.074210 	0.0135	0.0942	09:30	10:30
43	2	116.536107 	39.869800 	0.0129	0.0973	13:30	14:00
44	2	116.674032 	39.980487 	0.0129	0.0973	13:00	15:30
45	2	116.421084 	39.869937 	0.012	0.0837	09:00	11:00
46	2	116.326513 	39.969071 	0.02331	0.0956	13:00	15:00
47	2	116.619257 	39.959178 	0.36857	0.5909	13:30	14:30
48	2	116.124201 	40.044411 	0.0294	0.1717	11:00	13:30
49	2	116.330904 	40.028102 	0.657512	1.0689	13:00	14:30
